8.3078794851E-005	5.69238144218401E-005	-0.0005098049
0.0001363344	9.30718044948519E-005	-0.0008365085
0.0002556271	0.0001736097	-0.0015691644
0.0004622589	0.0003114824	-0.0028374377
0.0008435693	0.00056592	-0.0051825303
0.0013633443	0.0009057369	-0.0083771214
0.0025775729	0.0016867277	-0.0158355299
0.0046438916	0.0029874992	-0.0285239651
0.008520902	0.0053234605	-0.0522416611
0.0155506462	0.0091922124	-0.0948965045
10.2589477463	5.591252697	-62.1332584669
13.732996857	6.5953339608	-82.2479800743
16.9888569663	6.7563526047	-100.1857477603
19.9636208633	5.8353285211	-115.4498617066
22.9989147189	3.5754931366	-129.6241267908
26.1571977537	-0.2972604701	-142.6887423105
29.4124646376	-6.3081378379	-153.4756399747
32.6787557216	-14.944955209	-159.99345377
36.1722980587	-28.2431953762	-158.7138335145
40.0149715072	-46.5513802396	-147.767066529
44.0920588583	-69.5575378087	-124.7717851463
48.1717143927	-95.2016930162	-91.3039387681
52.7321115981	-120.6546244684	-52.6785050901
57.903923623	-144.7457316	-14.0519160591
63.5900596158	-165.9127042205	20.3045909989
69.9863391317	-184.4543662465	49.7269778202
76.2530324818	-197.7878979402	74.6744295681
82.2818813141	-205.2578948478	94.621799607
87.4850082917	-205.9007160135	108.2255595883
91.3788852582	-199.7660596417	115.9796868179
94.3977980377	-189.0960665915	120.5606446162
96.6093977606	-175.620457668	123.10234671
98.1933413489	-159.4750221115	123.9696795141
99.2332091436	-140.4872081417	123.3361019484
99.8044075889	-118.6619516235	121.3945137684
100	-93.9464567239	118.3547167745
99.8063435464	-66.2338707909	114.2742124669
99.1665595453	-35.5260949651	109.1665992341
98.1134858394	-2.0230505053	103.1289696055
96.6319557385	33.9138464533	96.2221206468
94.7382714286	71.6538334281	88.5876755311
92.4113089421	110.2527387612	80.3844609863
89.7198688568	148.4972882464	71.8606918541
86.7461190184	184.8597327733	63.2897514501
83.4949662361	216.3824205151	55.171764792
79.9992712908	243.1664403422	47.5099888189
76.2530324818	262.661169687	40.6940414474
72.3086320085	274.9893016397	34.7153374393
68.0942524808	279.777492883	29.5742217062
63.4254468198	276.8492174294	25.1246049249
58.5086361473	267.9838103775	21.2972498309
53.7072420802	256.0313388339	18.0407305606
48.8839586407	240.7525788233	15.2598039562
43.9736761563	222.2528184515	12.8701019585
39.0705290229	201.2720847328	10.8595082403
34.3139069378	179.3873238387	9.138003656
29.663367324	156.7766264814	7.6362254929
25.1311965654	133.7770720541	6.3164415012
20.8277044057	111.5049420711	5.1273163155
17.0842010137	91.8786517948	4.1301365167
13.8268664516	74.6813603293	3.2802847073
10.4982224131	56.9156533984	2.4413672673
0.0174891514	0.0949811786	0.003998871
0.0121912806	0.0662511903	0.0027388464
0.008738185	0.0474749901	0.0019251581
0.0062394305	0.0338576644	0.0013409519
0.0044543015	0.024129426	0.0009236572
0.0031612547	0.0170829615	0.0006214868
0.0022303461	0.0120101376	0.0004040824
0.0015763669	0.0084466305	0.0002515456
0.0011077173	0.0058933173	0.0001425137
0.0007692244	0.0040496386	6.41742949874758E-005
0.0005308522	0.0027520296	9.60848807502235E-006

